
2025/02/06 (15:19:39) | ===> btop++ v.1.4.0
2025/02/06 (15:19:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2025/02/06 (15:22:37) | ===> btop++ v.1.4.0
2025/02/06 (15:22:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2025/02/06 (15:23:05) | ===> btop++ v.1.4.0
2025/02/06 (15:23:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2025/02/06 (15:23:23) | ===> btop++ v.1.4.0
2025/02/06 (15:23:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2025/02/06 (15:24:07) | ===> btop++ v.1.4.0
2025/02/06 (15:24:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2025/02/06 (15:24:09) | ===> btop++ v.1.4.0
2025/02/06 (15:24:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
